Dili,Don Aleixo,Comoro,Tasi-tolu,
Ermera,Hatolia,Leimia Karaik,Hatufae,
Ermera,Hatolia,Leimia Karaik,Lakeama,
Ermera,Hatolia,Leimia Karaik,Lutur,
Ermera,Atsabe,Samara,Peta Laran,
Ermera,Atsabe,Samara,Rai luli,
Ermera,Atsabe,Lao Bonu,Sirui,
Ermera,Atsabe,Lao Bonu,Purugoa,
Ermera,Atsabe,Lao Bonu,Biabote,
Ermera,Atsabe,Leimia Leten,Orbetu,
Ermera,Atsabe,Leimia Leten,Lulara,
Ermera,Atsabe,Leimia Leten,Buibar,
Ermera,Atsabe,Leimia Leten,Ahigara,
Ermera,Atsabe,Leimia Leten,Olekata,
Ermera,Atsabe,Leimia Leten,Railia,
Ermera,Atsabe,Leimia Leten,Raibu,
Ermera,Atsabe,Leimia Leten,Biabuti,
Ermera,Atsabe,Leimia Leten,,
Manatuto,Laleia,Cairui,Raimea,
Manatuto,Laleia,Cairui,Raibou,
Manatuto,Laleia,Cairui,Korohoku,
Manatuto,Laleia,Cairui,watusili,
Manatuto,Laleia,Cairui,Biabai,
Manatuto,Laleia,Cairui,Uanono,
Manatuto,Laleia,Cairui,Hatukarau,
Manatuto,Laklubar,Sanannain,Fatuo,
Manatuto,Laklubar,Sanannain,Uruheto,
Manatuto,Laklubar,Sanannain,Wadaere,
Manatuto,Laklubar,Sanannain,Tanusa,
Manatuto,Laklo,Hohorai,Eremera,
Manatuto,Laklo,Hohorai,Eribuhun,
Manatuto,Laklo,Hohorai,Hatuana hu,
Manatuto,Laklo,Hohorai,Anikulau,
Manatuto,Natarbora,Barique,,
Manatuto,Soe-bada,Leo-haat,,
Manatuto,Soe-bada,Leo-haat,,
Aileu,Liquidoe,Faturilao,Kerema,
Aileu,Liquidoe,Faturilao,Leoberema,
Aileu,Remisiu,Liurai,Kotomorin,
Aileu,Remisiu,Liurai,Laraluha,
Aileu,Remisiu,Liurai,Manutane,
Manufahi,Turiskai,Beremana,,
Manufahi,Turiskai,Beremana,,
